IDp,lifespan,lrs,lrssa,ngo.kk,prop.lrs.non.migrators
P0000037167,NA,NA,NA,NA,NA
P0000037168,NA,NA,NA,NA,NA
P0000037169,NA,NA,NA,NA,NA
P0000037170,NA,NA,NA,NA,NA
P0000037171,NA,NA,NA,NA,NA
P0000037172,NA,NA,NA,NA,NA
P0000037173,77.1537935748462,2,2,0,1
P0000037174,NA,NA,NA,NA,NA
P0000037175,NA,NA,NA,NA,NA
P0000037176,82.7860560492139,2,2,2,1
P0000037177,NA,NA,NA,NA,NA
P0000037178,NA,NA,NA,NA,NA
P0000037179,NA,NA,NA,NA,NA
P0000037180,NA,NA,NA,NA,NA
P0000037182,NA,NA,NA,NA,NA
P0000037183,NA,NA,NA,NA,NA
P0000037184,NA,NA,NA,NA,NA
P0000037185,NA,NA,NA,NA,NA
P0000037186,NA,NA,NA,NA,NA
P0000037187,NA,NA,NA,NA,NA
P0000037188,0.00273410799726589,0,0,0,1
P0000037189,NA,NA,NA,NA,NA
P0000037190,NA,NA,NA,NA,NA
P0000037191,NA,NA,NA,NA,NA
P0000037192,NA,NA,NA,NA,NA
P0000037193,NA,NA,NA,NA,NA
P0000037194,NA,NA,NA,NA,NA
P0000037195,NA,NA,NA,NA,NA
P0000037196,NA,NA,NA,NA,NA
P0000037197,NA,NA,NA,NA,NA
P0000037198,NA,NA,NA,NA,NA
P0000037199,NA,NA,NA,NA,NA
P0000037200,NA,NA,NA,NA,NA
P0000037201,NA,NA,NA,NA,NA
P0000037202,NA,NA,NA,NA,NA
P0000037203,NA,NA,NA,NA,NA
P0000037204,NA,NA,NA,NA,NA
P0000037205,NA,NA,NA,NA,NA
P0000037206,NA,NA,NA,NA,NA
P0000037207,NA,NA,NA,NA,NA
P0000037208,NA,NA,NA,NA,NA
P0000037209,13.3397129186603,0,0,0,1
P0000037210,NA,NA,NA,NA,NA
P0000037211,NA,NA,NA,NA,NA
P0000037212,NA,NA,NA,NA,NA
P0000037213,NA,NA,NA,NA,NA
P0000037214,NA,NA,NA,NA,NA
P0000037215,NA,NA,NA,NA,NA
P0000037216,NA,NA,NA,NA,NA
P0000037217,NA,NA,NA,NA,NA
P0000037218,NA,NA,NA,NA,NA
P0000037219,NA,NA,NA,NA,NA
P0000037220,NA,NA,NA,NA,NA
P0000037221,NA,NA,NA,NA,NA
P0000037222,NA,NA,NA,NA,NA
P0000037223,NA,NA,NA,NA,NA
P0000037224,NA,NA,NA,NA,NA
